ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Predicted Deaths (yhat),Lower Bound (yhat_lower),Upper Bound (yhat_upper)
2020-02-29,2914.675384779398,558.449285899746,6514.273452234005,2914.675384779398,2914.675384779398,727.2987974322054,727.2987974322054,727.2987974322054,727.2987974322054,727.2987974322054,727.2987974322054,0.0,0.0,0.0,3641.9741822116034,3641,558,6514
2020-03-01,3006.394450585465,-401.73888176997343,5959.317880913666,3006.394450585465,3006.394450585465,-165.70172477013352,-165.70172477013352,-165.70172477013352,-165.70172477013352,-165.70172477013352,-165.70172477013352,0.0,0.0,0.0,2840.692725815332,2840,-401,5959
2020-03-02,3098.1135163915324,-896.039613872003,5086.734393311282,3098.1135163915324,3098.1135163915324,-905.3214847586692,-905.3214847586692,-905.3214847586692,-905.3214847586692,-905.3214847586692,-905.3214847586692,0.0,0.0,0.0,2192.792031632863,2192,-896,5086
2020-03-03,3189.8325821975995,-429.99876400852855,5560.42146965134,3189.8325821975995,3189.8325821975995,-728.289353321749,-728.289353321749,-728.289353321749,-728.289353321749,-728.289353321749,-728.289353321749,0.0,0.0,0.0,2461.5432288758507,2461,-429,5560
2020-03-04,3281.5516480036663,304.5436474550195,6056.3598736251115,3281.5516480036663,3281.5516480036663,-191.3747991062554,-191.3747991062554,-191.3747991062554,-191.3747991062554,-191.3747991062554,-191.3747991062554,0.0,0.0,0.0,3090.1768488974108,3090,304,6056
2020-03-05,3443.743967189413,985.8007666170016,6884.796424843816,3443.743967189413,3443.743967189413,388.5869411479008,388.5869411479008,388.5869411479008,388.5869411479008,388.5869411479008,388.5869411479008,0.0,0.0,0.0,3832.3309083373138,3832,985,6884
2020-03-06,3605.9362863751585,1353.4089845715077,7322.965097815742,3605.9362863751585,3605.9362863751585,874.8016233773342,874.8016233773342,874.8016233773342,874.8016233773342,874.8016233773342,874.8016233773342,0.0,0.0,0.0,4480.737909752493,4480,1353,7322
2020-03-07,3768.1286055609053,1550.2202266051083,7351.560651392351,3768.1286055609053,3768.1286055609053,727.2987974317398,727.2987974317398,727.2987974317398,727.2987974317398,727.2987974317398,727.2987974317398,0.0,0.0,0.0,4495.4274029926455,4495,1550,7351
2020-03-08,3930.320924746652,752.3783946874631,6767.299698315093,3930.320924746652,3930.320924746652,-165.7017247709168,-165.7017247709168,-165.7017247709168,-165.7017247709168,-165.7017247709168,-165.7017247709168,0.0,0.0,0.0,3764.6191999757352,3764,752,6767
2020-03-09,4092.513243932399,107.91796370186746,6246.4674546818605,4092.513243932399,4092.513243932399,-905.321484757745,-905.321484757745,-905.321484757745,-905.321484757745,-905.321484757745,-905.321484757745,0.0,0.0,0.0,3187.1917591746537,3187,107,6246
